id,team,number,name,ruby,height,weight,handed bat,handed pitch,pro year,birthday,age,birthplace,blood type
1600116,阪神タイガース,36,浜地 真澄,ハマチ マスミ,185,92,右,右,7,1998-05-25,24,福岡,O
1961194,阪神タイガース,42,K.ケラー,カイル ケラー,193,92,右,右,2,1993-04-28,29,アメリカ,
2000034,横浜DeNAベイスターズ,22,入江 大生,イリエ タイセイ,187,87,右,右,3,1998-08-26,24,栃木,O
1800070,阪神タイガース,65,湯浅 京己,ユアサ アツキ,183,82,右,右,5,1999-07-17,23,三重,O
1960962,読売ジャイアンツ,33,ビーディ,,188,97,右,右,1,1993-05-23,29,アメリカ,
1500074,中日ドラゴンズ,11,小笠原 慎之介,オガサワラ シンノスケ,180,93,左,左,8,1997-10-08,25,神奈川,A
1600064,読売ジャイアンツ,64,大江 竜聖,オオエ リュウセイ,173,82,左,左,7,1999-01-15,24,神奈川,A
1450689,読売ジャイアンツ,58,船迫 大雅,フナバサマ ヒロマサ,174,74,右,左,1,1996-10-16,26,宮城,B
1800061,中日ドラゴンズ,41,勝野 昌慶,カツノ アキヨシ,181,89,右,右,5,1997-06-12,25,岐阜,O
1860278,読売ジャイアンツ,99,ロペス,,190,84,右,右,1,1993-01-02,30,キューバ,
1600100,読売ジャイアンツ,53,高梨 雄平,タカナシ ユウヘイ,175,86,左,左,7,1992-07-13,30,埼玉,O
1800025,読売ジャイアンツ,54,直江 大輔,ナオエ ダイスケ,185,87,右,右,5,2000-06-20,22,長野,A
1700010,中日ドラゴンズ,92,マルティネス,,193,93,右,左,7,1996-10-11,26,キューバ,
1400182,埼玉西武ライオンズ,13,髙橋 光成,タカハシ コウナ,190,105,右,右,9,1997-02-03,26,群馬,B
2000096,オリックス・バファローズ,12,山下 舜平大,ヤマシタ シュンペイタ,190,98,右,右,3,2002-07-16,20,福岡,B
2000104,オリックス・バファローズ,96,宇田川 優希,ウダガワ ユウキ,184,92,右,右,3,1998-11-10,24,埼玉,O
2000101,オリックス・バファローズ,45,阿部 翔太,アベ ショウタ,178,80,右,左,3,1992-11-03,30,大阪,B
1500127,オリックス・バファローズ,20,近藤 大亮,コンドウ タイスケ,177,80,右,右,8,1991-05-29,31,大阪,O
2106286,埼玉西武ライオンズ,29,青山 美夏人,アオヤマ ミナト,183,94,右,右,1,2000-07-19,22,神奈川,A
1961077,オリックス・バファローズ,58,ワゲスパック,,198,106,右,右,2,1993-11-05,29,アメリカ,
1961030,埼玉西武ライオンズ,54,ティノコ,,193,117,右,右,1,1995-04-30,27,ベネズエラ,
600066,オリックス・バファローズ,16,平野 佳寿,ヒラノ ヨシヒサ,186,88,右,右,15,1984-03-08,39,京都,O
1900106,福岡ソフトバンクホークス,42,大関 友久,オオゼキ トモヒサ,184,94,左,左,4,1997-12-14,25,茨城,A
1800052,千葉ロッテマリーンズ,14,小島 和哉,オジマ カズヤ,177,85,左,左,5,1996-07-07,26,埼玉,O
2000088,千葉ロッテマリーンズ,56,中森 俊介,ナカモリ シュンスケ,182,90,右,左,3,2002-05-29,20,兵庫,AB
2101291,千葉ロッテマリーンズ,41,カスティーヨ,,190,96,右,右,1,1995-03-10,28,ドミニカ共和国,
1400126,福岡ソフトバンクホークス,66,松本 裕樹,マツモト ユウキ,182,87,右,左,9,1996-04-14,26,神奈川,A
1800037,千葉ロッテマリーンズ,36,坂本 光士郎,サカモト コウシロウ,179,75,左,左,5,1994-09-09,28,広島,B
1560184,福岡ソフトバンクホークス,54,オスナ,,188,104,右,右,2,1995-02-07,28,メキシコ,
1961407,読売ジャイアンツ,29,グリフィン,,190,102,左,右,1,1995-07-27,27,アメリカ,
500014,中日ドラゴンズ,20,涌井 秀章,ワクイ ヒデアキ,185,85,右,右,19,1986-06-21,36,千葉,A
1500113,読売ジャイアンツ,63,田中 豊樹,タナカ トヨキ,180,98,右,右,8,1993-12-01,29,佐賀,AB
1300040,中日ドラゴンズ,47,砂田 毅樹,スナダ ヨシキ,180,80,左,左,10,1995-07-20,27,北海道,B
1700106,中日ドラゴンズ,59,山本 拓実,ヤマモト タクミ,167,80,右,右,6,2000-01-31,23,兵庫,A
1200089,読売ジャイアンツ,30,鍵谷 陽平,カギヤ ヨウヘイ,178,86,右,右,11,1990-09-23,32,北海道,O
1760587,東京ヤクルトスワローズ,63,ピーターズ,,180,88,左,左,1,1992-08-31,30,アメリカ,
1600123,広島東洋カープ,28,床田 寛樹,トコダ ヒロキ,181,92,左,左,7,1995-03-01,28,兵庫,A
1200075,東京ヤクルトスワローズ,12,石山 泰稚,イシヤマ タイチ,182,75,右,右,11,1988-09-01,34,秋田,A
1800073,広島東洋カープ,43,島内 颯太郎,シマウチ ソウタロウ,180,81,右,右,5,1996-10-14,26,福岡,O
1560685,広島東洋カープ,68,ターリー,,193,104,左,左,2,1989-09-11,33,アメリカ,
1300029,東京ヤクルトスワローズ,34,田口 麗斗,タグチ カズト,171,83,左,左,10,1995-09-14,27,広島,B
900425,阪神タイガース,21,秋山 拓巳,アキヤマ タクミ,188,101,右,左,14,1991-04-26,31,香川,A
1660377,横浜DeNAベイスターズ,45,ガゼルマン,,193,95,右,右,2,1993-07-18,29,アメリカ,
1900031,横浜DeNAベイスターズ,20,坂本 裕哉,サカモト ユウヤ,180,87,左,左,4,1997-07-28,25,福岡,O
2000055,阪神タイガース,41,村上 頌樹,ムラカミ ショウキ,175,80,右,左,3,1998-06-25,24,兵庫,A
1200049,横浜DeNAベイスターズ,17,三嶋 一輝,ミシマ カズキ,175,80,右,両,11,1990-05-07,32,福岡,A
1900032,横浜DeNAベイスターズ,13,伊勢 大夢,イセ ヒロム,183,94,右,右,4,1998-03-07,25,熊本,A
1700006,横浜DeNAベイスターズ,62,エスコバー,,188,102,左,左,7,1992-04-22,30,ベネズエラ,
2000058,阪神タイガース,69,石井 大智,イシイ ダイチ,175,77,右,右,3,1997-07-29,25,秋田,O
1300076,阪神タイガース,54,加治屋 蓮,カジヤ レン,185,91,右,右,10,1991-11-25,31,宮崎,B
2106172,阪神タイガース,50,富田 蓮,トミダ レン,174,78,左,左,1,2001-09-06,21,岐阜,B
1400109,横浜DeNAベイスターズ,19,山﨑 康晃,ヤマサキ ヤスアキ,179,88,右,右,9,1992-10-02,30,東京,O
1100099,北海道日本ハムファイターズ,15,上沢 直之,ウワサワ ナオユキ,187,88,右,右,12,1994-02-06,29,千葉,A
1900117,東北楽天ゴールデンイーグルス,57,瀧中 瞭太,タキナカ リョウタ,180,93,右,右,4,1994-12-20,28,滋賀,A
800052,北海道日本ハムファイターズ,25,宮西 尚生,ミヤニシ ナオキ,180,78,左,左,16,1985-06-02,37,兵庫,O
2105038,東北楽天ゴールデンイーグルス,41,伊藤 茉央,イトウ マオ,176,80,右,左,1,2000-11-19,22,福島,O
1800120,東北楽天ゴールデンイーグルス,38,弓削 隼人,ユゲ ハヤト,193,105,左,左,5,1994-04-06,29,栃木,AB
1961437,北海道日本ハムファイターズ,70,メネズ,,188,93,左,左,2,1995-05-29,27,アメリカ,
1600139,北海道日本ハムファイターズ,19,玉井 大翔,タマイ タイショウ,178,78,右,右,7,1992-06-16,30,北海道,A
1400120,北海道日本ハムファイターズ,51,石川 直也,イシカワ ナオヤ,192,96,右,右,9,1996-07-11,26,山形,A
1900073,北海道日本ハムファイターズ,47,鈴木 健矢,スズキ ケンヤ,176,75,右,左,4,1997-12-11,25,千葉,O
2103955,東北楽天ゴールデンイーグルス,72,宮森 智志,ミヤモリ サトシ,193,93,右,右,2,1998-05-28,24,広島,O
1961288,埼玉西武ライオンズ,75,エンス,,185,97,左,左,2,1991-05-16,31,アメリカ,
1400195,オリックス・バファローズ,11,山﨑 福也,ヤマサキ サチヤ,188,95,左,左,9,1992-09-09,30,埼玉,B
1500104,埼玉西武ライオンズ,45,本田 圭佑,ホンダ ケイスケ,180,80,右,右,8,1993-04-24,29,宮城,A
1000010,オリックス・バファローズ,35,比嘉 幹貴,ヒガ モトキ,177,77,右,右,14,1982-12-07,40,沖縄,A
1600131,埼玉西武ライオンズ,25,平井 克典,ヒライ カツノリ,180,86,右,右,7,1991-12-20,31,愛知,A
1700112,オリックス・バファローズ,46,本田 仁海,ホンダ ヒトミ,181,74,右,左,6,1999-07-27,23,神奈川,A
2103714,埼玉西武ライオンズ,19,佐藤 隼輔,サトウ シュンスケ,182,83,左,左,2,2000-01-03,23,宮城,B
1600155,オリックス・バファローズ,63,山﨑 颯一郎,ヤマザキ ソウイチロウ,190,92,右,右,7,1998-06-15,24,石川,B
2000071,埼玉西武ライオンズ,59,大曲 錬,オオマガリ レン,180,81,右,右,3,1998-05-21,24,福岡,A
1200082,埼玉西武ライオンズ,14,増田 達至,マスダ タツシ,180,88,右,右,11,1988-04-23,34,兵庫,AB
1800105,オリックス・バファローズ,65,漆原 大晟,ウルシハラ タイセイ,182,85,右,左,5,1996-09-10,26,新潟,B
1400176,福岡ソフトバンクホークス,48,藤井 皓哉,フジイ コウヤ,183,87,右,左,8,1996-07-29,26,岡山,AB
1600146,千葉ロッテマリーンズ,16,種市 篤暉,タネイチ アツキ,183,88,右,右,7,1998-09-07,24,青森,AB
2103779,千葉ロッテマリーンズ,30,廣畑 敦也,ヒロハタ アツヤ,175,83,右,右,2,1997-12-03,25,岡山,A
1660014,千葉ロッテマリーンズ,55,ペルドモ,,188,84,右,右,1,1993-05-09,29,ドミニカ共和国,
1600141,千葉ロッテマリーンズ,11,佐々木 千隼,ササキ チハヤ,181,83,右,右,7,1994-06-08,28,東京,O
1100119,福岡ソフトバンクホークス,57,嘉弥真 新也,カヤマ シンヤ,172,70,左,左,12,1989-11-23,33,沖縄,O
1300063,福岡ソフトバンクホークス,14,又吉 克樹,マタヨシ カツキ,177,69,右,右,10,1990-11-04,32,沖縄,A
1550517,福岡ソフトバンクホークス,26,大津 亮介,オオツ リョウスケ,175,63,右,左,1,1999-01-13,24,福岡,B
2103689,読売ジャイアンツ,31,赤星 優志,アカホシ ユウジ,175,82,右,右,2,1999-07-02,23,東京,B
1200055,中日ドラゴンズ,24,福谷 浩司,フクタニ コウジ,183,93,右,右,11,1991-01-09,32,愛知,B
1700104,中日ドラゴンズ,50,清水 達也,シミズ タツヤ,184,90,右,右,6,1999-11-03,23,埼玉,AB
2103697,読売ジャイアンツ,15,大勢,タイセイ,181,88,右,右,2,1999-06-29,23,兵庫,O
2103794,東京ヤクルトスワローズ,21,吉村 貢司郎,ヨシムラ コウジロウ,183,85,右,右,1,1998-01-19,25,東京,B
1900057,広島東洋カープ,65,玉村 昇悟,タマムラ ショウゴ,179,84,左,左,4,2001-04-16,21,福井,A
2000024,東京ヤクルトスワローズ,20,木澤 尚文,キザワ ナオフミ,183,85,右,右,3,1998-04-25,24,千葉,O
1600125,広島東洋カープ,48,アドゥワ 誠,アドゥワ マコト,196,84,右,右,7,1998-10-02,24,熊本,O
1651377,広島東洋カープ,45,松本 竜也,マツモト リュウヤ,178,98,右,右,2,1999-09-18,23,奈良,A
1600115,阪神タイガース,35,才木 浩人,サイキ ヒロト,189,86,右,右,7,1998-11-07,24,兵庫,A
1600109,横浜DeNAベイスターズ,47,笠原 祥太郎,カサハラ ショウタロウ,177,85,左,左,7,1995-03-17,28,新潟,A
2000040,横浜DeNAベイスターズ,95,石川 達也,イシカワ タツヤ,178,75,左,右,3,1998-04-15,24,神奈川,A
2107859,北海道日本ハムファイターズ,24,金村 尚真,カネムラ ショウマ,176,83,右,右,1,2000-08-29,22,沖縄,O
1600092,東北楽天ゴールデンイーグルス,46,藤平 尚真,フジヒラ ショウマ,185,85,右,右,7,1998-09-21,24,千葉,O
1700140,北海道日本ハムファイターズ,41,ロドリゲス,,196,116,右,右,6,1991-07-06,31,ドミニカ共和国,
1700124,埼玉西武ライオンズ,61,平良 海馬,タイラ カイマ,173,93,右,左,6,1999-11-15,23,沖縄,O
1600150,オリックス・バファローズ,19,山岡 泰輔,ヤマオカ タイスケ,172,68,右,左,7,1995-09-22,27,広島,A
2000078,埼玉西武ライオンズ,69,水上 由伸,ミズカミ ヨシノブ,176,79,右,右,3,1998-07-13,24,長野,O
1200106,福岡ソフトバンクホークス,16,東浜 巨,ヒガシハマ ナオ,182,82,右,右,11,1990-06-20,32,沖縄,A
1000155,千葉ロッテマリーンズ,15,美馬 学,ミマ マナブ,169,75,右,左,13,1986-09-19,36,茨城,O
1400140,千葉ロッテマリーンズ,37,小野 郁,オノ フミヤ,175,78,右,右,9,1996-10-23,26,福岡,AB
1900102,福岡ソフトバンクホークス,11,津森 宥紀,ツモリ ユウキ,176,84,右,右,4,1998-01-21,25,和歌山,O
1700026,千葉ロッテマリーンズ,40,西村 天裕,ニシムラ タカヒロ,177,92,右,右,6,1993-05-06,29,和歌山,O
1300058,広島東洋カープ,11,九里 亜蓮,クリ アレン,187,97,右,右,10,1991-09-01,31,鳥取,A
900062,阪神タイガース,16,西 勇輝,ニシ ユウキ,181,81,右,右,15,1990-11-10,32,三重,B
2000060,広島東洋カープ,20,栗林 良吏,クリバヤシ リョウジ,178,85,右,右,3,1996-07-09,26,愛知,A
1000138,中日ドラゴンズ,22,大野 雄大,オオノ ユウダイ,184,85,左,左,13,1988-09-26,34,京都,O
2000139,東京ヤクルトスワローズ,54,サイスニード,,193,97,右,右,3,1992-10-01,30,アメリカ,
1300066,中日ドラゴンズ,33,祖父江 大輔,ソブエ ダイスケ,175,75,右,左,10,1987-08-11,35,愛知,B
1100071,中日ドラゴンズ,12,田島 慎二,タジマ シンジ,181,87,右,右,12,1989-12-21,33,愛知,B
1600081,横浜DeNAベイスターズ,26,濵口 遥大,ハマグチ ハルヒロ,173,80,左,左,7,1995-03-16,28,佐賀,B
1800028,読売ジャイアンツ,20,戸郷 翔征,トゴウ ショウセイ,187,84,右,右,5,2000-04-04,23,宮崎,AB
1750471,横浜DeNAベイスターズ,30,三浦 銀二,ミウラ ギンジ,175,80,右,右,2,1999-12-30,23,福岡,A
2050423,読売ジャイアンツ,68,代木 大和,シロキ ヤマト,184,84,左,左,2,2003-09-08,19,愛媛,O
1200117,東北楽天ゴールデンイーグルス,14,則本 昂大,ノリモト タカヒロ,178,82,右,左,11,1990-12-17,32,滋賀,A
1600127,埼玉西武ライオンズ,48,今井 達也,イマイ タツヤ,180,70,右,右,7,1998-05-09,24,栃木,A
1400139,東北楽天ゴールデンイーグルス,20,安樂 智大,アンラク トモヒロ,186,87,右,左,9,1996-11-04,26,愛媛,A
1551037,東北楽天ゴールデンイーグルス,22,小孫 竜二,コマゴ リュウジ,180,88,右,右,1,1997-09-15,25,石川,O
1700109,オリックス・バファローズ,29,田嶋 大樹,タジマ ダイキ,182,82,左,左,6,1996-08-03,26,栃木,A
1300080,福岡ソフトバンクホークス,29,石川 柊太,イシカワ シュウタ,185,90,右,右,10,1991-12-27,31,東京,O
1700118,オリックス・バファローズ,95,東 晃平,アズマ コウヘイ,178,85,右,右,6,1999-12-14,23,兵庫,O
1700133,福岡ソフトバンクホークス,56,田浦 文丸,タウラ フミマル,168,80,左,左,6,1999-09-21,23,福岡,O
1300087,福岡ソフトバンクホークス,63,古川 侑利,フルカワ ユウリ,178,86,右,右,10,1995-09-08,27,佐賀,AB
900081,千葉ロッテマリーンズ,29,西野 勇士,ニシノ ユウジ,183,90,右,右,15,1991-03-06,32,富山,A
1961850,北海道日本ハムファイターズ,45,ポンセ,,198,116,右,右,2,1994-04-25,28,アメリカ,
1000083,千葉ロッテマリーンズ,54,澤村 拓一,サワムラ ヒロカズ,184,105,右,右,11,1988-04-03,35,栃木,A
1100104,千葉ロッテマリーンズ,52,益田 直也,マスダ ナオヤ,178,80,右,右,12,1989-10-25,33,和歌山,B
1300031,横浜DeNAベイスターズ,59,平良 拳太郎,タイラ ケンタロウ,180,80,右,右,10,1995-07-12,27,沖縄,O
1660388,読売ジャイアンツ,65,メンデス,,193,104,左,左,1,1995-01-17,28,ベネズエラ,
1600106,中日ドラゴンズ,17,柳 裕也,ヤナギ ユウヤ,180,85,右,右,7,1994-04-22,28,宮崎,A
1500042,東京ヤクルトスワローズ,47,高橋 奎二,タカハシ ケイジ,178,73,左,左,8,1997-05-14,25,京都,O
1300092,東京ヤクルトスワローズ,69,今野 龍太,コンノ リュウタ,178,87,右,右,10,1995-05-11,27,宮城,AB
1700101,中日ドラゴンズ,46,鈴木 博志,スズキ ヒロシ,182,95,右,右,6,1997-03-22,26,静岡,A
1800039,東京ヤクルトスワローズ,61,久保 拓眞,クボ タクマ,175,75,左,左,5,1996-07-27,26,佐賀,B
1900027,東京ヤクルトスワローズ,44,大西 広樹,オオニシ ヒロキ,175,84,右,右,4,1997-11-08,25,奈良,O
2000121,東北楽天ゴールデンイーグルス,21,早川 隆久,ハヤカワ タカヒサ,180,76,左,左,3,1998-07-06,24,千葉,B
1751148,埼玉西武ライオンズ,16,隅田 知一郎,スミダ チヒロ,177,81,左,左,2,1999-08-20,23,長崎,O
1800085,埼玉西武ライオンズ,28,森脇 亮介,モリワキ リョウスケ,175,70,右,右,5,1992-07-13,30,京都,A
1700002,千葉ロッテマリーンズ,42,メルセデス,,188,82,左,両,7,1994-03-08,29,ドミニカ共和国,
2000079,北海道日本ハムファイターズ,17,伊藤 大海,イトウ ヒロミ,176,82,右,左,3,1997-08-31,25,北海道,O
1500111,北海道日本ハムファイターズ,29,井口 和朋,イグチ カズトモ,175,75,右,右,8,1994-01-07,29,神奈川,O
1600151,オリックス・バファローズ,54,黒木 優太,クロキ ユウタ,179,85,右,左,7,1994-08-16,28,神奈川,A
20204,福岡ソフトバンクホークス,21,和田 毅,ワダ ツヨシ,179,80,左,左,17,1981-02-21,42,島根,O
1800109,福岡ソフトバンクホークス,50,板東 湧梧,バンドウ ユウゴ,182,81,右,右,5,1995-12-27,27,徳島,AB
1700058,横浜DeNAベイスターズ,11,東 克樹,アズマ カツキ,170,76,左,左,6,1995-11-29,27,三重,B
1800026,読売ジャイアンツ,62,横川 凱,ヨコガワ カイ,190,98,左,左,5,2000-08-30,22,滋賀,B
2000042,中日ドラゴンズ,19,髙橋 宏斗,タカハシ ヒロト,186,86,右,右,3,2002-08-09,20,愛知,AB
12113,東京ヤクルトスワローズ,19,石川 雅規,イシカワ マサノリ,167,73,左,左,22,1980-01-22,43,秋田,A
1500139,東京ヤクルトスワローズ,45,小澤 怜史,コザワ レイジ,182,83,右,左,8,1998-03-09,25,静岡,A
1700072,広島東洋カープ,66,遠藤 淳志,エンドウ アツシ,186,87,右,右,6,1999-04-08,23,茨城,O
1900044,阪神タイガース,15,西 純矢,ニシ ジュンヤ,184,98,右,右,4,2001-09-13,21,広島,O
1800080,埼玉西武ライオンズ,17,松本 航,マツモト ワタル,176,90,右,右,5,1996-11-28,26,兵庫,AB
1900080,千葉ロッテマリーンズ,17,佐々木 朗希,ササキ ロウキ,192,92,右,右,4,2001-11-03,21,岩手,O
1600153,オリックス・バファローズ,18,山本 由伸,ヤマモト ヨシノブ,178,80,右,右,7,1998-08-17,24,岡山,AB
1700130,福岡ソフトバンクホークス,28,高橋 礼,タカハシ レイ,187,87,右,右,6,1995-11-02,27,千葉,O
2100915,阪神タイガース,99,ビーズリー,,191,109,右,右,1,1995-11-20,27,アメリカ,
1900087,オリックス・バファローズ,13,宮城 大弥,ミヤギ ヒロヤ,171,78,左,左,4,2001-08-25,21,沖縄,A
1500109,北海道日本ハムファイターズ,20,上原 健太,ウエハラ ケンタ,191,90,左,左,8,1994-03-29,29,沖縄,A
1600093,北海道日本ハムファイターズ,52,池田 隆英,イケダ タカヒデ,181,91,右,右,7,1994-10-01,28,佐賀,B
